0.036336,0.3455,0,0,-0.016227,0.49949,0,0.83265,-0.028855,0.047497,0.69921,0.18154,0,0
0,-0.029968,0,0.83065,0,0.0034085,0,-0.020839,0,0.025713,0.61917,0.20449,0.011395,0
0.097346,0,-0.038405,0,0,0.012493,0.93492,0,0.12032,0.012518,0.64527,0,0,-0.02084
0,0.051645,0.50098,-0.013527,0,-0.031668,0.00066399,0.26452,0,0.25229,0,-0.048102,0.03225,0.027183
0.042015,-0.011631,-0.015085,0.073947,-0.013957,0.03585,0.040299,-0.0166,-0.030982,-0.0039082,0.54206,0,0,0
0,0.94995,0.030547,-0.0050124,0.418,0.013952,0,0.71,0.54888,0.11531,-0.065769,0,0,-0.024954
0.7526,0.048544,0.099891,0,0.31115,-0.068918,-0.023558,-0.00046426,0.037605,0,0,0,-0.00097728,-0.04282
0.23163,0.047002,0.042543,0,0.55537,0.62081,0.56823,0.036395,0,0.79924,-0.033116,0,0.042051,0
0.71903,0.87776,0,0.0067626,0.046264,0,0.022061,0,0,0.064426,-0.04716,0.35566,0,0
0,0,0.048553,0.2967,0.023265,0.26387,-0.028462,0,-0.023932,0,-0.0085804,0,0,0
0,0.27724,-0.026307,-0.031877,0,0,0.50905,0,0,0,0,0.069463,0.55171,0
-0.018234,0.042442,0,-0.0089206,-0.051592,0.069086,-0.020782,-0.015135,-0.047858,0.011888,0,0,0.86089,0
0.13143,0,0.87295,0,0,0,0,0.029921,0.99046,0,0.93758,0.045628,0,0.13875
-0.023847,0,0,0,0.34429,0.024196,0,0,0,0,0,0.33087,0,0
