0.31472,0.16511,0.19483,-0.38919,0.31892,-0.44938,0.21182,0.80451,-0.14127,-0.23237,0.0039707,0.32318,-0.27408,-0.27825,-0.013814,-0.46227,0.20383,0.23066
0.40579,0.45949,-0.20979,0.0022443,-0.18016,-0.41076,0.3043,-0.10022,-0.42039,0.64797,0.65228,0.29483,-0.32937,-0.33628,-0.25548,0.10573,0.062096,0.31658
-0.30242,0.12885,0.45022,0.52302,0.39005,-0.0087408,-0.018149,-0.31862,0.6274,-0.41213,0.24469,0.11118,-0.22374,-0.18037,0.13244,0.06403,-0.30771,0.21915
0.72159,0.3982,-0.41324,-0.15961,-0.12948,0.26912,-0.41618,0.33904,-0.3573,-0.34681,-0.27689,0.1696,0.81294,-0.13628,0.44965,0.29049,-0.26007,-0.35013
0.13245,0.34913,-0.0078853,0.048215,-0.3034,0.14819,-0.33142,-0.042846,-0.31609,0.1468,0.6771,0.28109,-0.1889,-0.12581,0.17914,0.95196,0.29436,0.73867
-0.43112,0.43399,-0.11284,-0.21148,0.98261,-0.37009,0.4065,0.45746,0.095954,0.49362,-0.31649,0.12156,0.40547,0.50221,0.78429,0.39375,-0.59879,-0.0059016
-0.27944,0.17874,0.25577,0.25127,0.13315,0.096297,-0.34762,-0.31815,-0.12096,0.41087,-0.14811,-0.17455,-0.13699,-0.39502,-0.17371,0.40903,0.046208,0.47297
-0.01682,0.24434,0.27862,-0.16325,-0.0058277,0.88974,0.33012,-0.2362,0.44493,-0.47402,0.12318,0.63349,-0.25148,-0.23752,0.49233,-0.18069,-0.3049,0.14899
0.53265,0.21706,-0.31313,0.02131,-0.073734,-0.44946,0.080003,-0.35695,0.40272,0.67269,0.32264,0.33035,0.40488,0.30101,-0.45839,0.24425,0.50812,0.31286
0.48984,-0.01257,-0.062971,0.19908,0.37935,-0.24638,0.42225,-0.38143,0.49232,-0.14684,-0.40843,0.29322,0.486,-0.41711,0.38517,-0.31003,0.22455,-0.073034
-0.34239,0.16773,-0.017404,0.37106,0.085264,-0.33772,-0.42182,0.41675,0.033213,0.32119,0.42939,0.17013,-0.084084,0.60911,0.38222,-0.46946,0.00047162,-0.054953
0.52817,-0.35591,0.091776,0.44232,0.049724,0.33754,-0.038343,0.094043,0.0094997,-0.49893,0.30723,0.087045,-0.39543,0.23033,0.26375,0.2738,0.75679,0.32531
0.41563,0.22632,0.21175,0.096933,0.43319,0.34117,-0.39335,0.085946,-0.16228,-0.42186,0.0096671,-0.255,-0.24194,-0.04902,-0.42546,0.029487,0.20873,-0.40357
-0.024974,-0.42839,0.29457,0.34101,-0.21416,0.0036918,0.44855,-0.37121,0.46479,-0.34011,-0.065344,-0.17563,-0.063944,0.078525,-0.22529,-0.036801,0.16831,-0.44363
0.29439,-0.22067,0.15662,-0.38374,0.33447,-0.30577,-0.51148,0.35554,0.20439,0.14912,-0.053523,-0.051642,0.011717,-0.26272,-0.16464,0.84815,-0.45757,-0.35531
-0.41247,-0.45176,0.1414,-0.24721,0.24226,0.12447,0.27491,0.12206,-0.413,0.21648,0.9176,-0.2357,-0.23779,0.026853,0.17825,0.10987,0.49867,-0.15742
0.68123,-0.33984,0.27987,0.41625,0.54984,-0.19949,0.083199,-0.14905,0.28715,0.12055,0.054661,0.34892,0.1218,0.4338,-0.39314,0.15629,0.02165,0.35015
0.11348,0.32421,-0.33739,-0.24572,0.081991,0.15408,0.49807,0.01325,-0.11014,-0.035277,0.013105,0.90344,0.21122,0.015771,0.22123,0.37483,-0.40327,0.30336
